Object 1 Volume,Object 1 Grasping Length,"Object 1 Shape (Cuboid, Sphere, Cylinder)",Object 2 Volume,Object 2 Grasping Length,"Object 2 Shape (Cuboid, Sphere, Cylinder)",Remaining Workspace Volume after first grasp,Remaining Workspace Volume after both grasps
3.35103e-05,0.0,"[0, 1, 0]",9.896e-06,0.014,"[0, 0, 1]",0.0066849674125314,0.0031320782206262
0.0002060822,0.078,"[0, 0, 1]",0.000162624,0.084,"[1, 0, 0]",0.0066298964424108,0.0031173328523851
1.98e-05,0.022,"[1, 0, 0]",0.000108,0.12,"[1, 0, 0]",0.0066958794440698,0.0031332986190184
4.7096e-05,0.014,"[1, 0, 0]",1.1494e-05,0.0,"[0, 1, 0]",0.0066776689732473,0.0031331654888892
0.0001407434,0.112,"[0, 0, 1]",0.000119808,0.052,"[1, 0, 0]",0.00665812968205,0.0031296829970926
1.20637e-05,0.06,"[0, 0, 1]",5.2025e-06,0.046,"[0, 0, 1]",0.006704205376133,0.0031332812022082
1.728e-05,0.12,"[1, 0, 0]",7.744e-06,0.016,"[1, 0, 0]",0.0067010175588629,0.0031291723258935
8.75373e-05,0.086,"[0, 0, 1]",2.5992e-05,0.018,"[1, 0, 0]",0.0066720449532462,0.0031322171001201
2.4429e-05,0.0,"[0, 1, 0]",0.000215784,0.074,"[1, 0, 0]",0.0066912848475468,0.0031328610586944
6.54498e-05,0.0,"[0, 1, 0]",3.6784e-05,0.076,"[1, 0, 0]",0.0066607047686986,0.0031285147057519
7.9388e-05,0.07,"[0, 0, 1]",3.1752e-05,0.098,"[1, 0, 0]",0.0066775345993556,0.0031314713603077
2.17147e-05,0.108,"[0, 0, 1]",0.0001845749,0.102,"[0, 0, 1]",0.0067018432893749,0.0031332432982225
9.216e-06,0.016,"[1, 0, 0]",0.00031,0.124,"[1, 0, 0]",0.0067010217199071,0.0031334247050017
9.19523e-05,0.0,"[0, 1, 0]",6.47734e-05,0.122,"[0, 0, 1]",0.0066384007123525,0.0031250796533167
